Gene,LGG_percent,GBM_percent,Difference_pp,chi2_p_value
IDH1,78.2,6.5,-71.7,1.0901568739561897e-92
ATRX,37.4,9.7,-27.8,2.3078002400764394e-19
PTEN,5.1,33.0,27.8,6.406989543672414e-26
CIC,22.0,1.1,-20.9,3.3949016387709905e-18
EGFR,6.4,23.0,16.6,5.940593274691435e-12
TP53,48.1,32.1,-16.0,4.574431077114986e-06
RB1,1.2,9.7,8.4,4.213581982043601e-08
FUBP1,8.8,0.6,-8.3,3.532984154248488e-07
MUC16,8.4,16.2,7.8,0.0008379207437466732
NOTCH1,7.8,0.0,-7.8,1.98048561113828e-07
PIK3R1,4.3,9.4,5.1,0.00513469028488944
NF1,6.0,10.8,4.8,0.01575389026687587
GRIN2A,1.4,5.7,4.2,0.001221783530948009
IDH2,4.3,0.6,-3.8,0.0021571019695700924
SMARCA4,4.7,1.1,-3.6,0.006696369096502735
PDGFRA,1.2,4.5,3.3,0.006147333128568401
CSMD3,2.5,4.3,1.8,0.2105805302426988
PIK3CA,8.0,9.7,1.6,0.48143588499251
FAT4,2.3,3.4,1.1,0.4308386576381965
BCOR,3.5,3.4,-0.1,1.0
