Threshold,XGBoost_NB,XGBoost_NB_lo,XGBoost_NB_hi,Age+IDH1_NB,Age+IDH1_NB_lo,Age+IDH1_NB_hi,TreatAll_NB,TreatNone_NB
0.01,0.4136,0.3759,0.4528,0.4135,0.3758,0.4527,0.4135,0.0
0.02,0.409,0.371,0.4483,0.4048,0.3668,0.4444,0.4076,0.0
0.03,0.4055,0.3672,0.4449,0.395,0.3562,0.4352,0.4014,0.0
0.04,0.3994,0.3606,0.4394,0.3917,0.3525,0.4324,0.3952,0.0
0.05,0.3902,0.3522,0.43,0.3844,0.3441,0.425,0.3888,0.0
0.06,0.3859,0.3459,0.4258,0.3798,0.3398,0.4199,0.3823,0.0
0.07,0.3789,0.3375,0.4191,0.3772,0.3367,0.4176,0.3757,0.0
0.08,0.3757,0.3354,0.4159,0.3758,0.3357,0.4166,0.3689,0.0
0.09,0.3743,0.3351,0.4143,0.3742,0.3346,0.4157,0.362,0.0
0.1,0.3745,0.3347,0.4139,0.3736,0.3342,0.4149,0.3549,0.0
0.11,0.3728,0.3331,0.4133,0.3713,0.3325,0.4127,0.3476,0.0
0.12,0.3714,0.3323,0.4103,0.3693,0.3305,0.4098,0.3402,0.0
0.13,0.3709,0.3317,0.41,0.3676,0.3286,0.408,0.3326,0.0
0.14,0.3689,0.3297,0.4084,0.3663,0.327,0.4065,0.3249,0.0
0.15,0.3666,0.3276,0.4057,0.3658,0.3265,0.4064,0.3169,0.0
0.16,0.3657,0.3271,0.4039,0.3649,0.3258,0.4054,0.3088,0.0
0.17,0.3645,0.3254,0.403,0.3632,0.3239,0.4038,0.3005,0.0
0.18,0.3633,0.3239,0.4017,0.3612,0.3213,0.4017,0.292,0.0
0.19,0.3615,0.3219,0.3999,0.3595,0.3187,0.4004,0.2832,0.0
0.2,0.3597,0.3198,0.3982,0.3578,0.3175,0.3985,0.2743,0.0
0.21,0.3582,0.3184,0.3971,0.3557,0.3149,0.3962,0.2651,0.0
0.22,0.358,0.3181,0.3974,0.354,0.3127,0.3945,0.2556,0.0
0.23,0.3566,0.3172,0.3955,0.3523,0.3115,0.3933,0.246,0.0
0.24,0.3556,0.3158,0.3944,0.35,0.3088,0.391,0.2361,0.0
0.25,0.3542,0.3139,0.3925,0.3483,0.3069,0.3896,0.2259,0.0
0.26,0.3528,0.3123,0.3921,0.3459,0.3041,0.3873,0.2154,0.0
0.27,0.3515,0.3109,0.3913,0.3436,0.3012,0.385,0.2047,0.0
0.28,0.3501,0.3091,0.3906,0.3411,0.2985,0.3826,0.1936,0.0
0.29,0.3487,0.3079,0.3892,0.3386,0.2957,0.3803,0.1823,0.0
0.3,0.3467,0.3055,0.3876,0.336,0.2927,0.3778,0.1706,0.0
0.31,0.3453,0.3039,0.3866,0.334,0.2909,0.3763,0.1586,0.0
0.32,0.3432,0.3013,0.3849,0.3313,0.2879,0.3739,0.1462,0.0
0.33,0.341,0.2987,0.3834,0.3286,0.2847,0.3717,0.1334,0.0
0.34,0.3388,0.2961,0.3813,0.3257,0.2815,0.3693,0.1203,0.0
0.35,0.3373,0.2951,0.3798,0.3227,0.2784,0.3668,0.1068,0.0
0.36,0.335,0.2924,0.3776,0.319,0.2731,0.3624,0.0928,0.0
0.37,0.3326,0.2892,0.3754,0.3153,0.2702,0.3592,0.0784,0.0
0.38,0.3319,0.2881,0.3754,0.3121,0.267,0.3566,0.0636,0.0
0.39,0.3279,0.2835,0.3718,0.3074,0.2609,0.3521,0.0482,0.0
0.4,0.3254,0.2806,0.3697,0.305,0.2587,0.3493,0.0323,0.0
0.41,0.3212,0.2756,0.3656,0.3026,0.2556,0.3476,0.0159,0.0
0.42,0.3185,0.2729,0.3631,0.2975,0.2505,0.3429,-0.001,0.0
0.43,0.3153,0.2697,0.3602,0.2939,0.2464,0.3399,-0.0186,0.0
0.44,0.3109,0.265,0.3563,0.2901,0.2421,0.3368,-0.0368,0.0
0.45,0.3091,0.263,0.3546,0.2862,0.2373,0.3334,-0.0556,0.0
0.46,0.306,0.2596,0.3522,0.2821,0.2329,0.3294,-0.0752,0.0
0.47,0.3042,0.2579,0.3514,0.2832,0.2334,0.3315,-0.0955,0.0
0.48,0.2979,0.2501,0.3448,0.2804,0.2305,0.3296,-0.1165,0.0
0.49,0.2944,0.2471,0.3403,0.2761,0.2251,0.3261,-0.1384,0.0
0.5,0.2896,0.2432,0.3359,0.2731,0.2209,0.3239,-0.1612,0.0
0.51,0.2876,0.2392,0.3358,0.2717,0.2205,0.3217,-0.1849,0.0
0.52,0.2826,0.2336,0.3314,0.2657,0.2136,0.3169,-0.2096,0.0
0.53,0.2789,0.2292,0.3282,0.2596,0.206,0.3119,-0.2353,0.0
0.54,0.275,0.2247,0.3249,0.2532,0.1983,0.3061,-0.2622,0.0
0.55,0.2713,0.2222,0.3214,0.2484,0.1932,0.3023,-0.2902,0.0
0.56,0.2642,0.2142,0.3148,0.2357,0.1802,0.2875,-0.3195,0.0
0.57,0.2598,0.2092,0.311,0.2361,0.1811,0.2894,-0.3502,0.0
0.58,0.2544,0.2023,0.3061,0.2311,0.1751,0.2874,-0.3824,0.0
0.59,0.2503,0.1982,0.3015,0.2276,0.1696,0.2842,-0.4161,0.0
0.6,0.247,0.194,0.2985,0.2224,0.1634,0.2791,-0.4515,0.0
