Feature,Mean_permutation_importance,SD
IDH1,0.24985706179785128,0.016761299181397602
Age_at_diagnosis,0.019896233152812103,0.013069551837082827
TP53,0.017278631456263044,0.006655265973380904
IDH2,0.004474045691150957,0.003702811871395451
NF1,0.0044653646791804735,0.0019945936807783385
PTEN,0.003834071630124266,0.003443057446997301
CIC,0.003543545270518962,0.0018857848761185429
EGFR,0.0034235337031389658,0.0016341407357666725
MUC16,0.002865380233801287,0.001593574226918284
GRIN2A,0.0014381890039784873,0.001283368730747946
ATRX,0.0014084873459873502,0.0026587647510029557
NOTCH1,0.0009795631999579423,0.0005907375722193707
PIK3R1,0.000558191808191818,0.0007432271387911764
FUBP1,0.0001727384457647596,0.00021327425660397405
RB1,0.00016573886639677295,0.00040187962377165033
Race,0.00014603269537480482,0.0006859319213438902
SMARCA4,0.00010413928177086642,0.00011755880034658713
FAT4,-2.407132341342377e-05,9.953576291179563e-05
PDGFRA,-3.6482158192676644e-05,6.034859239165301e-05
CSMD3,-4.9243519638250136e-05,0.0002243519366967159
BCOR,-7.554945054945472e-05,9.323416984568551e-05
PIK3CA,-9.072068282594325e-05,0.00030024855480512245
Gender,-0.0004908578263841367,0.0014127300645787855
