Feature_removed,AUC_without,AUC_without_sd,Delta_AUC_vs_full
IDH1,0.893,0.0297,0.0315
TP53,0.9107,0.0287,0.0137
NF1,0.9183,0.0232,0.0062
IDH2,0.919,0.0209,0.0054
EGFR,0.9195,0.0198,0.005
ATRX,0.92,0.0239,0.0045
MUC16,0.9216,0.0199,0.0029
NOTCH1,0.9215,0.0206,0.0029
GRIN2A,0.9216,0.0239,0.0029
PTEN,0.9218,0.0195,0.0027
Gender,0.9219,0.0231,0.0025
SMARCA4,0.9227,0.0211,0.0018
CIC,0.9227,0.0228,0.0017
CSMD3,0.9228,0.0215,0.0016
PDGFRA,0.9229,0.0214,0.0016
BCOR,0.9229,0.0211,0.0015
PIK3R1,0.923,0.0219,0.0015
FUBP1,0.923,0.0216,0.0014
FAT4,0.9233,0.0215,0.0012
Race,0.9233,0.0198,0.0011
RB1,0.9235,0.0218,0.001
PIK3CA,0.9235,0.0221,0.001
(none — full model),0.9245,0.02,0.0
Age_at_diagnosis,0.9279,0.0193,-0.0034
