Threshold,XGBoost_NB,XGBoost_NB_lo,XGBoost_NB_hi,Age+IDH1_NB,Age+IDH1_NB_lo,Age+IDH1_NB_hi,TreatAll_NB,TreatNone_NB
0.01,0.4136,0.3759,0.4528,0.4135,0.3758,0.4527,0.4135,0.0
0.02,0.4092,0.3712,0.4485,0.4048,0.3668,0.4444,0.4076,0.0
0.03,0.4058,0.3673,0.4454,0.395,0.3562,0.4352,0.4014,0.0
0.04,0.3979,0.3595,0.4372,0.3917,0.3525,0.4324,0.3952,0.0
0.05,0.3937,0.3551,0.4339,0.3844,0.3441,0.425,0.3888,0.0
0.06,0.3857,0.3443,0.4265,0.3798,0.3398,0.4199,0.3823,0.0
0.07,0.3827,0.3411,0.424,0.3772,0.3367,0.4176,0.3757,0.0
0.08,0.3783,0.3364,0.418,0.3758,0.3357,0.4166,0.3689,0.0
0.09,0.3714,0.3323,0.4115,0.3742,0.3346,0.4157,0.362,0.0
0.1,0.3715,0.3313,0.4108,0.3736,0.3342,0.4149,0.3549,0.0
0.11,0.3713,0.3314,0.411,0.3713,0.3325,0.4127,0.3476,0.0
0.12,0.371,0.3313,0.4107,0.3693,0.3305,0.4098,0.3402,0.0
0.13,0.3681,0.3289,0.4076,0.3676,0.3286,0.408,0.3326,0.0
0.14,0.368,0.3287,0.4075,0.3663,0.327,0.4065,0.3249,0.0
0.15,0.3664,0.3274,0.4058,0.3658,0.3265,0.4064,0.3169,0.0
0.16,0.366,0.3267,0.4044,0.3649,0.3258,0.4054,0.3088,0.0
0.17,0.3648,0.3256,0.4031,0.3632,0.3239,0.4038,0.3005,0.0
0.18,0.3633,0.3239,0.402,0.3612,0.3213,0.4017,0.292,0.0
0.19,0.3619,0.3222,0.4009,0.3595,0.3187,0.4004,0.2832,0.0
0.2,0.3604,0.3209,0.3996,0.3578,0.3175,0.3985,0.2743,0.0
0.21,0.3586,0.3191,0.398,0.3557,0.3149,0.3962,0.2651,0.0
0.22,0.3576,0.3177,0.397,0.354,0.3127,0.3945,0.2556,0.0
0.23,0.3561,0.3163,0.3952,0.3523,0.3115,0.3933,0.246,0.0
0.24,0.3542,0.3141,0.3934,0.35,0.3088,0.391,0.2361,0.0
0.25,0.3527,0.3119,0.3916,0.3483,0.3069,0.3896,0.2259,0.0
0.26,0.3513,0.3106,0.3903,0.3459,0.3041,0.3873,0.2154,0.0
0.27,0.3504,0.3098,0.39,0.3436,0.3012,0.385,0.2047,0.0
0.28,0.3489,0.3079,0.3892,0.3411,0.2985,0.3826,0.1936,0.0
