Feature,Mean_permutation_importance,SD
IDH1,0.25693939284399814,0.022227458182893928
Age_at_diagnosis,0.019360852962826698,0.012094573315003108
TP53,0.016598812371838727,0.0075630253427957555
IDH2,0.005209582084582132,0.00375264044300761
NF1,0.0049972888953152645,0.0019264837706627364
CIC,0.003932953011900426,0.003146399639755918
MUC16,0.0031590339485076746,0.0010710196100236471
PTEN,0.0029565883677726214,0.0036763770478265997
EGFR,0.002845865757050007,0.002044295404073763
GRIN2A,0.0016183158946317176,0.0014849025130235947
NOTCH1,0.001347605245631608,0.0007594904725580081
ATRX,0.001216902614928975,0.0028434349683838277
FUBP1,8.354036314567215e-05,0.00019050738541089935
PIK3R1,4.194818339559371e-05,0.00047891328718871034
FAT4,5.811074890034183e-06,5.1790160878981825e-05
BCOR,-2.7264402264383088e-05,9.796133195531895e-05
Race,-2.806404122190464e-05,0.0006948901320983683
SMARCA4,-4.418279089328792e-05,0.000238986174529247
PDGFRA,-4.693223443224093e-05,9.414324722964706e-05
CSMD3,-5.705916890125894e-05,7.136111998974711e-05
PIK3CA,-0.00010751857791329255,0.0003437245701930716
Gender,-0.0001917435634540421,0.0011719425835207767
RB1,-0.0003519452039188531,0.0008514703768073853
