Feature_removed,AUC_without,AUC_without_sd,Delta_AUC_vs_full
IDH1,0.8915,0.0313,0.0318
TP53,0.9128,0.0277,0.0105
IDH2,0.9179,0.0229,0.0054
NF1,0.9186,0.0249,0.0046
EGFR,0.9193,0.0219,0.004
MUC16,0.9201,0.0226,0.0032
ATRX,0.9205,0.0258,0.0028
GRIN2A,0.921,0.0236,0.0023
NOTCH1,0.9214,0.0214,0.0019
PTEN,0.9215,0.0206,0.0018
PIK3R1,0.922,0.0227,0.0013
FAT4,0.922,0.0221,0.0012
PIK3CA,0.9221,0.022,0.0012
CIC,0.9222,0.0222,0.0011
FUBP1,0.9222,0.0227,0.0011
RB1,0.9222,0.022,0.0011
PDGFRA,0.9222,0.0225,0.0011
BCOR,0.9228,0.022,0.0005
SMARCA4,0.9227,0.022,0.0005
CSMD3,0.9231,0.022,0.0002
(none — full model),0.9233,0.0223,0.0
Race,0.9234,0.0216,-0.0001
Gender,0.9237,0.0234,-0.0004
Age_at_diagnosis,0.9275,0.0174,-0.0042
