Feature_removed,AUC,Delta_AUC,ECE,Delta_ECE,Sensitivity,Delta_Sensitivity,Specificity,Delta_Specificity,Net_benefit_at_locked_threshold,Delta_net_benefit
IDH1,0.8879,0.0353,0.0423,0.014,0.879,0.0391,0.7969,0.0437,0.2796,0.0356
TP53,0.9108,0.0125,0.0413,0.013,0.9181,0.0,0.8406,0.0,0.3152,0.0
NF1,0.9144,0.0089,0.0275,-0.0008,0.9253,-0.0071,0.8355,0.0051,0.3159,-0.0007
IDH2,0.9145,0.0088,0.0299,0.0016,0.911,0.0071,0.8355,0.0051,0.3099,0.0052
EGFR,0.9155,0.0078,0.0325,0.0042,0.9146,0.0036,0.8406,0.0,0.3137,0.0015
ATRX,0.9162,0.0071,0.0314,0.0031,0.9217,-0.0036,0.8355,0.0051,0.3144,0.0008
GRIN2A,0.9164,0.0069,0.0307,0.0024,0.9146,0.0036,0.8406,0.0,0.3137,0.0015
MUC16,0.917,0.0062,0.0233,-0.005,0.9146,0.0036,0.8406,0.0,0.3137,0.0015
Race,0.9171,0.0061,0.0311,0.0028,0.9181,0.0,0.838,0.0026,0.3141,0.0011
NOTCH1,0.9172,0.006,0.0244,-0.0039,0.911,0.0071,0.8406,0.0,0.3122,0.003
PIK3R1,0.9176,0.0057,0.0242,-0.0042,0.9181,0.0,0.838,0.0026,0.3141,0.0011
FAT4,0.9177,0.0055,0.0312,0.0029,0.9181,0.0,0.838,0.0026,0.3141,0.0011
PDGFRA,0.9179,0.0054,0.0262,-0.0021,0.9181,0.0,0.838,0.0026,0.3141,0.0011
CIC,0.9182,0.0051,0.0254,-0.0029,0.9181,0.0,0.838,0.0026,0.3141,0.0011
RB1,0.9182,0.0051,0.0264,-0.0019,0.9181,0.0,0.838,0.0026,0.3141,0.0011
FUBP1,0.9183,0.005,0.0243,-0.004,0.9181,0.0,0.8406,0.0,0.3152,0.0
SMARCA4,0.9183,0.005,0.0249,-0.0034,0.9181,0.0,0.838,0.0026,0.3141,0.0011
PIK3CA,0.9185,0.0048,0.026,-0.0023,0.9181,0.0,0.838,0.0026,0.3141,0.0011
PTEN,0.9185,0.0048,0.0244,-0.0039,0.9181,0.0,0.8406,0.0,0.3152,0.0
CSMD3,0.9186,0.0047,0.0229,-0.0054,0.9181,0.0,0.838,0.0026,0.3141,0.0011
BCOR,0.9187,0.0046,0.0233,-0.005,0.9181,0.0,0.838,0.0026,0.3141,0.0011
Gender,0.9191,0.0042,0.0301,0.0018,0.9217,-0.0036,0.8432,-0.0026,0.3178,-0.0026
Age_at_diagnosis,0.9208,0.0025,0.0235,-0.0048,0.9217,-0.0036,0.8329,0.0077,0.3133,0.0019
