Feature,Mean_abs_std_coef
IDH1,3.0302868768113362
IDH2,1.452333916225896
NOTCH1,1.015651696794287
TP53,0.9305782225517149
GRIN2A,0.8880610739899218
CIC,0.8363100985588124
NF1,0.735555264516005
Age_at_diagnosis,0.6707789248014067
PTEN,0.664985451816462
PIK3R1,0.6549051393921557
EGFR,0.4723507636381562
MUC16,0.41764705662089996
Race_1,0.40127527245145167
FUBP1,0.3924365296665007
ATRX,0.37491262241660817
Race_2,0.34991961669417987
Race_3,0.3280130645143417
PDGFRA,0.30956234996121595
SMARCA4,0.29937592165236915
RB1,0.27214829685518965
CSMD3,0.2568658879256532
PIK3CA,0.17539524078755175
BCOR,0.17057678398642326
FAT4,0.16530125390171144
Gender,0.11977704241607681
