Feature,Mean_permutation_importance,SD
IDH1,0.23126298044061203,0.046800566902437474
Age_at_diagnosis,0.022307117224880425,0.009832835236428241
TP53,0.016117785723048922,0.0035155923166981053
CIC,0.0037693775522723225,0.0017594022814251546
NOTCH1,0.0035094291673239304,0.001548188577266392
IDH2,0.003264652014652035,0.0031506805846078655
NF1,0.0029895543053438077,0.0024372178954022196
GRIN2A,0.002701257076257095,0.0023551208349161354
PTEN,0.002273910300226122,0.0038871372030726895
PIK3R1,0.0016464018437702898,0.0021305030814422364
EGFR,0.0011681082075819316,0.0018322792202131078
Gender,0.0007576962511173268,0.0014370220524545579
Race,0.00035212594423124854,0.0022358163850495502
MUC16,0.00025735229682601334,0.000940320104819555
PDGFRA,0.00017438701649230337,0.0004530765417628479
PIK3CA,0.00013764744027905065,0.0012982864410734031
CSMD3,-0.00022859815622971124,0.0008429876781590789
SMARCA4,-0.0002839923234659858,0.0008535336424470787
FUBP1,-0.00032529970029966383,0.00113096846707046
FAT4,-0.0004258241758241543,0.0006610475337373248
RB1,-0.00045841220183321047,0.0014817051004100523
ATRX,-0.001001586133165042,0.002948979918016563
BCOR,-0.0016345715687820794,0.0022815348345132354
